pressure,effective_pressure
0.0161,0.009492199
0.0384,0.02565465
0.0769,0.05543968
0.137,0.10407376
0.2244,0.17712055
0.3454,0.28056479
0.5064,0.42077893
0.714,0.60426813
0.9753,0.8378701
1.2972,1.1286093
1.6872,1.483667
2.1526,1.9104614
2.7009,2.4163914
3.3398,3.0090542
4.077,3.6961555
4.9204,4.485492
5.8776,5.3848286
6.9567,6.401999
8.1655,7.5449677
9.5119,8.821584
11.0038,10.239742
12.6492,11.807399
14.4559,13.53246
16.4318,15.422754
18.5847,17.48616
20.9224,19.730469
23.4526,22.163445
26.1829,24.792694
29.121,27.625927
32.2744,30.670698
35.6505,33.934483
39.2566,37.424618
43.1001,41.148426
47.1882,45.113304
51.5278,49.326195
56.126,53.794155
60.9895,58.524063
66.1253,63.522823
71.5398,68.797066
77.2396,74.35335
83.231,80.19804
89.5204,86.33752
96.1138,92.778015
103.0172,99.525566
110.2366,106.586235
117.7775,113.96544
125.6456,121.66922
133.8462,129.70262
142.3848,138.07153
151.2664,146.78091
160.4959,155.83571
170.0784,165.24081
180.0183,175.00117
190.3203,185.12164
200.9887,195.60603
212.0277,206.45888
223.4415,217.68459
235.2338,229.28723
247.4085,241.26971
259.9691,253.63708
272.9191,266.3918
286.2617,279.53732
300.0,293.07736
314.1369,307.01453
328.6753,321.35162
343.6176,336.09116
358.9665,351.2365
374.7241,366.7887
390.8926,382.75137
407.4738,399.1261
424.4698,415.9144
441.8819,433.11725
459.7118,450.73755
477.9607,468.77637
496.6298,487.23596
515.72,506.1142
535.2322,525.4158
555.1669,545.13916
575.5248,565.28534
596.3062,585.855
617.5112,606.84717
639.1398,628.2631
661.192,650.10406
683.6673,672.36725
706.5654,695.05457
729.8857,718.16174
753.6275,741.6927
777.7897,765.6464
802.3714,790.01544
827.3713,814.8073
852.788,840.01575
878.6201,865.64044
904.8659,891.67914
931.5236,918.12946
958.5911,944.992
986.0666,972.26465
1013.9476,999.9442
1042.2319,1028.0234
1070.917,1056.511
1100.0,1085.3951
